ID_Registro,WBS,EV,AC,Fecha
1,2.3,308.57142857142856,379.92110136479795,2025-10-15
2,3.3,308.57142857142856,382.0602548010116,2025-10-15
3,4.2,308.57142857142856,381.2566376923999,2025-10-15
4,2.2,308.57142857142856,378.9913187700756,2025-10-15
5,2.3,308.57142857142856,380.92611443509946,2025-10-15
6,1.0,308.57142857142856,379.5600792933873,2025-10-15
7,1.1,308.57142857142856,379.4190405131543,2025-10-15
8,3.3,308.57142857142856,370.4225805513601,2025-10-15
9,3.0,308.57142857142856,380.2296650380415,2025-10-15
10,4.1,308.57142857142856,380.9649060946382,2025-10-15
11,4.1,308.57142857142856,372.46414245802043,2025-10-15
12,2.0,308.57142857142856,371.7116910744982,2025-10-15
13,1.2,308.57142857142856,382.7516326100045,2025-10-15
14,4.2,308.57142857142856,369.9217090533647,2025-10-15
15,1.3,308.57142857142856,378.8586969038111,2025-10-15
16,3.2,308.57142857142856,372.06532139531913,2025-10-15
17,3.1,308.57142857142856,380.85958954385933,2025-10-15
18,4.0,308.57142857142856,382.36689018724945,2025-10-15
19,3.1,308.57142857142856,372.1601780783328,2025-10-15
20,1.1,308.57142857142856,369.0482819100225,2025-10-15
21,1.0,308.57142857142856,381.525032013815,2025-10-15
22,4.1,308.57142857142856,380.99460581471675,2025-10-15
23,1.2,308.57142857142856,381.44593873122045,2025-10-15
24,1.3,308.57142857142856,369.98166479434207,2025-10-15
25,3.1,308.57142857142856,377.66034553808464,2025-10-15
26,1.2,308.57142857142856,372.32768171815314,2025-10-15
27,4.0,308.57142857142856,375.9325304832456,2025-10-15
28,1.3,308.57142857142856,376.9331214417924,2025-10-15
29,3.2,308.57142857142856,369.3050359851143,2025-10-15
30,2.1,308.57142857142856,381.75442193860493,2025-10-15
31,3.3,308.57142857142856,380.1550751884047,2025-10-15
32,3.1,308.57142857142856,379.62476194216384,2025-10-15
33,4.1,308.57142857142856,376.8541997972382,2025-10-15
34,2.0,308.57142857142856,378.24506648460937,2025-10-15
35,1.3,308.57142857142856,382.1044914214669,2025-10-15
36,1.3,308.57142857142856,375.01910851384355,2025-10-15
37,1.0,308.57142857142856,383.62203550492717,2025-10-15
38,3.3,308.57142857142856,368.88031711961924,2025-10-15
39,3.0,308.57142857142856,378.6426450361295,2025-10-15
40,2.0,308.57142857142856,375.67503493364507,2025-10-15
41,4.0,308.57142857142856,372.2078636006038,2025-10-15
42,4.0,308.57142857142856,380.92891061288276,2025-10-15
43,3.1,308.57142857142856,383.7039409975457,2025-10-15
44,3.3,308.57142857142856,380.2424370818152,2025-10-15
45,3.0,308.57142857142856,372.11169249025903,2025-10-15
46,2.1,308.57142857142856,376.11728284692947,2025-10-15
47,4.0,308.57142857142856,374.83348232313574,2025-10-15
48,2.2,308.57142857142856,380.3627721682468,2025-10-15
49,3.3,308.57142857142856,382.3570552860537,2025-10-15
50,4.2,308.57142857142856,376.69802701783374,2025-10-15
51,1.3,308.57142857142856,368.94454867161755,2025-10-15
52,2.3,308.57142857142856,382.5602827528606,2025-10-15
53,1.0,308.57142857142856,378.9053864731385,2025-10-15
54,4.0,308.57142857142856,370.49073583711237,2025-10-15
55,2.0,308.57142857142856,379.7467039336159,2025-10-15
56,4.1,308.57142857142856,373.47520405862565,2025-10-15
57,4.2,308.57142857142856,377.0230651185383,2025-10-15
58,3.1,308.57142857142856,382.79321806763045,2025-10-15
59,1.0,308.57142857142856,377.0023304535197,2025-10-15
60,4.2,308.57142857142856,370.6096259702066,2025-10-15
61,2.2,308.57142857142856,379.26652668612144,2025-10-15
62,1.0,308.57142857142856,381.64972329854606,2025-10-15
63,4.2,308.57142857142856,381.8576717706389,2025-10-15
64,1.0,308.57142857142856,373.2024381973567,2025-10-15
65,1.2,308.57142857142856,378.05824153426903,2025-10-15
66,4.2,308.57142857142856,381.1038928006845,2025-10-15
67,3.2,308.57142857142856,369.2751704811249,2025-10-15
68,1.3,308.57142857142856,375.04114006166503,2025-10-15
69,1.3,308.57142857142856,376.23244610659356,2025-10-15
70,3.0,308.57142857142856,378.17511520812917,2025-10-15
71,2.2,308.57142857142856,370.49428011501556,2025-10-15
72,2.0,308.57142857142856,370.4270424330182,2025-10-15
73,4.1,308.57142857142856,373.75035559656254,2025-10-15
74,1.2,308.57142857142856,377.3599817662873,2025-10-15
75,1.0,308.57142857142856,374.7979996131489,2025-10-15
76,2.0,308.57142857142856,382.0711829785774,2025-10-15
77,2.1,308.57142857142856,371.49116043680914,2025-10-15
78,2.1,308.57142857142856,369.4390243034599,2025-10-15
79,2.0,308.57142857142856,369.2288313170038,2025-10-15
80,3.1,308.57142857142856,370.56411754768436,2025-10-15
81,3.0,308.57142857142856,383.8264445202219,2025-10-15
82,3.3,308.57142857142856,380.38535942699735,2025-10-15
83,4.2,308.57142857142856,378.44638290873024,2025-10-15
84,2.3,308.57142857142856,374.6136657343296,2025-10-15
85,3.3,308.57142857142856,374.4671202780283,2025-10-15
86,1.2,308.57142857142856,373.85997980515185,2025-10-15
87,2.2,308.57142857142856,372.89389829092454,2025-10-15
88,2.2,308.57142857142856,382.8428829224589,2025-10-15
89,4.2,308.57142857142856,372.4032605025519,2025-10-15
90,3.2,308.57142857142856,371.00345412150625,2025-10-15
91,2.0,308.57142857142856,377.4891283722573,2025-10-15
92,4.3,308.57142857142856,373.2793000681623,2025-10-15
93,3.2,308.57142857142856,378.2300002170131,2025-10-15
94,3.2,308.57142857142856,369.19358374067986,2025-10-15
95,3.3,308.57142857142856,373.84024089695407,2025-10-15
96,3.0,308.57142857142856,379.710661095818,2025-10-15
97,2.0,308.57142857142856,375.3100571230296,2025-10-15
98,4.0,308.57142857142856,378.436758363811,2025-10-15
99,3.1,308.57142857142856,378.7506715611654,2025-10-15
100,3.1,308.57142857142856,370.69772176516875,2025-10-15
101,3.3,308.57142857142856,380.6815515498267,2025-10-15
102,1.2,308.57142857142856,381.63984281910825,2025-10-15
103,4.0,308.57142857142856,371.1143226659867,2025-10-15
104,4.1,308.57142857142856,377.89400049917907,2025-10-15
105,1.2,308.57142857142856,376.0018886887362,2025-10-15
106,4.1,308.57142857142856,377.7168507850098,2025-10-15
107,2.0,308.57142857142856,383.33288368287367,2025-10-15
108,3.0,308.57142857142856,378.0902422021944,2025-10-15
109,3.3,308.57142857142856,368.860596397436,2025-10-15
110,3.0,308.57142857142856,377.1755964234103,2025-10-15
111,4.2,308.57142857142856,372.08162709310744,2025-10-15
112,4.3,308.57142857142856,369.8184893953665,2025-10-15
113,3.1,308.57142857142856,371.938852674996,2025-10-15
114,2.3,308.57142857142856,374.7971095676229,2025-10-15
115,4.3,308.57142857142856,380.77586846417466,2025-10-15
116,3.2,308.57142857142856,371.28573218331127,2025-10-15
117,2.3,308.57142857142856,383.6397268656591,2025-10-15
118,4.2,308.57142857142856,379.17004457758964,2025-10-15
